hs1	110470764	110470764
hs1	113046879	113046879
hs1	150595537	150595537
hs1	156283895	156283895
hs1	161721351	161721351
hs2	26920025	26920025
hs2	27730940	27730940
hs2	28024331	28024331
hs2	54969379	54969379
hs2	111791653	111791653
hs2	211540507	211540507
hs3	12095130	12095130
hs3	12399407	12399407
hs3	186458910	186458910
hs4	3421309	3421309
hs4	77401452	77401452
hs4	79619199	79619199
hs4	81181072	81181072
hs4	88057353	88057353
hs4	88176030	88176030
hs4	110931939	110931939
hs5	1284135	1284135
hs5	55820584	55820584
hs5	72252475	72252475
hs5	176824137	176824137
hs6	20720818	20720818
hs6	32368561	32368561
hs6	32600411	32600411
hs6	43262704	43262704
hs6	135418916	135418916
hs7	1293010	1293010
hs7	22740312	22740312
hs7	26022414	26022414
hs7	27241660	27241660
hs7	50258479	50258479
hs7	73042614	73042614
hs7	80174361	80174361
hs8	126482077	126482077
hs9	22165583	22165583
hs9	130778738	130778738
hs9	136141870	136141870
hs9	139328722	139328722
hs10	60284763	60284763
hs10	65165184	65165184
hs10	69965177	69965177
hs10	94839724	94839724
hs10	104669621	104669621
hs10	105718386	105718386
hs10	114025182	114025182
hs11	205780	205780
hs11	1896957	1896957
hs11	5701883	5701883
hs11	9770318	9770318
hs11	61624181	61624181
hs11	65524252	65524252
hs11	78126011	78126011
hs11	116662579	116662579
hs12	12878765	12878765
hs12	110069190	110069190
hs12	111718231	111718231
hs12	113300769	113300769
hs12	121420260	121420260
hs12	123895906	123895906
hs14	103280657	103280657
hs14	103575070	103575070
hs15	51125319	51125319
hs15	53943318	53943318
hs15	70207607	70207607
hs16	69700201	69700201
hs16	88523815	88523815
hs16	88862343	88862343
hs17	16863638	16863638
hs17	38175561	38175561
hs17	59456589	59456589
hs17	76124865	76124865
hs19	2186757	2186757
hs19	45411941	45411941
hs19	46182304	46182304
hs19	50012574	50012574
hs20	57463472	57463472
hs21	46271452	46271452
hs22	21984379	21984379
hs22	30540590	30540590
hs22	37462936	37462936
hs22	40892794	40892794
hs22	44330128	44330128
hsX	8912594	8912594
hsX	152875584	152875584
